"","TSCT","SCAT_ID","PARALLEL_DIST","PERP_DIST_M","APPROX_N","VEG_TYPE","SUBSTRATE","Date","Weather","StartTime","EndTime","Obs1","CTR.Obs","Gastropods","Dist","Angles","Easting","Northing"
"1","10B3-2",409,11.7,0.5,"21-50",NA,"LL","22-May","Overcast","08:41:00","09:16:00","DT","AW",NA,96.13012015,272.981461219982,578995.109226952,4865662.28983051
"2","10B3-2",410,20.3,1.05,"21-50",NA,"moss","22-May","Overcast","08:41:00","09:16:00","DT","AW",NA,96.13012015,272.981461219982,578995.007281797,4865653.67286427
"3","10B3-2",411,21.3,0.13,"21-50",NA,"moss","22-May","Overcast","08:41:00","09:16:00","DT","AW",NA,96.13012015,272.981461219982,578995.978049334,4865652.72206966
"4","10B3-2",412,87.25,0.53,"21-50",NA,"moss","22-May","Overcast","08:41:00","09:16:00","DT","AW",NA,96.13012015,272.981461219982,579000.067402384,4865586.89566697
"5","10B3-3",415,18,0.53,"11-20","ferns","moss","22-May","Rain","09:54:00",NA,"EH","AW",NA,94.42986816,155.60626061384,578786.38798909,4865286.95140227
"6","10B3-3",416,22.75,0,"11-20","ferns","moss","22-May","Rain","09:54:00",NA,"EH","AW",NA,94.42986816,155.60626061384,578782.280919923,4865289.3958619
"7","10B3-6",419,80.2,0.2,NA,NA,"LL","22-May","Rain","11:27:00","11:57:00","DT","AW",NA,102.9271587,32.3004155104026,578545.896559933,4865989.68649844
"8","10B3-6",420,91.9,0.14,"21-50",NA,"LL","22-May","Rain","11:27:00","11:57:00","DT","AW",NA,102.9271587,32.3004155104026,578555.604396159,4865996.22588036
"9","10B3-6",421,91.2,0.36,"21-50",NA,"LL","22-May","Rain","11:27:00","11:57:00","DT","AW",NA,102.9271587,32.3004155104026,578555.279894828,4865995.42920044
"10","10B3-6",422,91.75,1.6,"21-50",NA,"LL","22-May","Rain","11:27:00","11:57:00","DT","AW",NA,102.9271587,32.3004155104026,578556.407391219,4865994.67497774
"11","10B3-6",423,92.4,0.24,"21-50",NA,NA,"22-May","Rain","11:27:00","11:57:00","DT","AW",NA,102.9271587,32.3004155104026,578556.23008136,4865996.17186157
"12","10B2-6",424,17.5,0,"21-50",NA,"moss","22-May","Rain","14:57:00","15:08:00","EH","AW",NA,83.5463943,47.9108378261682,584317.730009514,4866208.98679625
"13","9A1-1",425,3.85,0.35,"11-20",NA,"LL","23-May","Clear","08:46:00","09:00:00","DT","AW",NA,94.57801013,70.2239233973608,570216.631986122,4847399.50451442
"14","9A1-3",427,40.6,0.51,"21-50",NA,"LL","23-May","Clear","09:38:00","09:53:00","EH","AW",NA,101.651365,195.403424962468,570159.722908136,4848115.70776241
"15","9A1-6",428,79.4,0.25,"21-50",NA,"LL","23-May","Clear","10:40:00","10:53:00","DT","AW",NA,101.5332458,297.574563959694,569771.976066026,4847466.73483764
"16","9A3-1",429,98.95,0.46,"21-50",NA,"LL","23-May","Clear","12:07:00","12:22:00","EH","AW",NA,91.00549434,89.3704013915897,565677.547269217,4847407.93897138
"17","9A3-3",433,12.1,0.49,"21-50",NA,"LL","23-May","Clear","13:20:00","14:05:00","DT","AW",NA,101.5480182,327.875001559613,565893.98680248,4847973.1506295
"18","9A3-3",434,16.4,1.13,"21-50",NA,"LL","23-May","Clear","13:20:00","14:05:00","DT","AW",NA,101.5480182,327.875001559613,565897.288097827,4847970.32201694
"19","9A3-3",435,18.1,2.85,"51-100",NA,"LL","23-May","Clear","13:20:00","14:05:00","DT","AW",NA,101.5480182,327.875001559613,565900.844247976,4847972.78863327
"20","9A3-3",436,18.95,0.49,"21-50",NA,"LL","23-May","Clear","13:20:00","14:05:00","DT","AW",NA,101.5480182,327.875001559613,565899.787998904,4847969.50801779
"21","9A3-3",437,21.85,1.76,"21-50",NA,"LL","23-May","Clear","13:20:00","14:05:00","DT","AW",NA,101.5480182,327.875001559613,565903.44045817,4847969.87139268
"22","9A3-3",438,21.85,1.76,"21-50",NA,"LL","23-May","Clear","13:20:00","14:05:00","DT","AW",NA,101.5480182,327.875001559613,565901.568634343,4847966.89033992
"23","9A3-3",439,27.75,0.2,"21-50",NA,"LL","23-May","Clear","13:20:00","14:05:00","DT","AW",NA,101.5480182,327.875001559613,565907.607550817,4847965.41281232
"24","9A3-3",440,58.45,0.25,"21-50",NA,"LL","23-May","Clear","13:20:00","14:05:00","DT","AW",NA,101.5480182,327.875001559613,565933.367777815,4847948.70643016
"25","9A3-3",441,59.65,0.44,"21-50",NA,"LL","23-May","Clear","13:20:00","14:05:00","DT","AW",NA,101.5480182,327.875001559613,565934.283009857,4847947.9073993
"26","9A3-3",442,93.45,0.13,"21-50","piney things","LL","23-May","Clear","13:20:00","14:05:00","DT","AW",NA,101.5480182,327.875001559613,565963.210999316,4847930.41636371
"27","9A3-4",443,10.8,1.23,"11-20",NA,"pine needles","23-May","Clear","14:17:00","15:10:00","DT","AW",NA,99.28242543,333.693036174257,566157.226583361,4847824.31626647
"28","9A3-4",444,12.6,0.2,"21-50",NA,"pine needles","23-May","Clear","14:17:00","15:10:00","DT","AW",NA,99.28242543,333.693036174257,566158.206414379,4847822.23664362
"29","9A3-4",445,13.8,1.04,"21-50",NA,"pine needles","23-May","Clear","14:17:00","15:10:00","DT","AW",NA,99.28242543,333.693036174257,566159.83167685,4847822.81640383
"30","9A3-4",446,32.5,0.9,"21-50",NA,"LL","23-May","Clear","14:17:00","15:10:00","DT","AW",NA,99.28242543,333.693036174257,566176.532920728,4847814.4034345
"31","9A3-4",447,44.47,1,"21-50",NA,"grass","23-May","Clear","14:17:00","15:10:00","DT","AW",NA,99.28242543,333.693036174257,566187.307536631,4847809.18821139
"32","9A3-4",448,44.93,0,"11-20",NA,"grass","23-May","Clear","14:17:00","15:10:00","DT","AW",NA,99.28242543,333.693036174257,566187.276715466,4847808.08791595
"33","9A3-4",449,49.4,0,"21-50","pine","pine needles","23-May","Clear","14:17:00","15:10:00","DT","AW",NA,99.28242543,333.693036174257,566191.283769064,4847806.10690069
"34","9A3-4",450,81.1,0.23,"11-20",NA,"LL","23-May","Clear","14:17:00","15:10:00","DT","AW",NA,99.28242543,333.693036174257,566219.598750167,4847791.8519105
"35","9A3-4",451,83.6,1,"21-50",NA,"LL","23-May","Clear","14:17:00","15:10:00","DT","AW",NA,99.28242543,333.693036174257,566221.498582883,4847790.05370705
"36","9A3-4",452,84.7,0.54,"21-50",NA,"pine needles","23-May","Clear","14:17:00","15:10:00","DT","AW",NA,99.28242543,333.693036174257,566223.16715614,4847790.94671505
"37","9A3-4",453,85.6,0.46,"11-20",NA,"pine needles","23-May","Clear","14:17:00","15:10:00","DT","AW",NA,99.28242543,333.693036174257,566223.938491043,4847790.47613831
"38","9A3-4",454,91.25,0.4,"21-50",NA,"pine needles","23-May","Clear","14:17:00","15:10:00","DT","AW",NA,99.28242543,333.693036174257,566228.976744267,4847787.91838452
"39","9A3-4",455,92.1,1.38,"21-50",NA,"LL","23-May","Clear","14:17:00","15:10:00","DT","AW",NA,99.28242543,333.693036174257,566228.94985129,4847785.94603142
"40","9A3-4",456,96.35,0.18,"21-50",NA,"LL","23-May","Clear","14:17:00","15:10:00","DT","AW",NA,99.28242543,333.693036174257,566233.291505899,4847785.13823488
"41","7B1-1",457,5.95,0.22,"21-50",NA,"LL","24-May","Clear","09:34:00","09:50:00","DT","AW",NA,102.4890238,84.4006606634794,542523.799500249,4929580.90014401
"42","7B1-1",458,8.6,0.41,"21-50",NA,"LL","24-May","Clear","09:34:00","09:50:00","DT","AW",NA,102.4890238,84.4006606634794,542524.247157942,4929583.51896103
"43","7B1-2",459,17.4,0.39,"21-50",NA,"LL","24-May","Clear","09:58:00","10:12:00","DT","AW",NA,103.0048543,89.4437477729193,542556.778942457,4929993.40296623
"44","7B1-2",460,41.9,0.43,"21-50",NA,"LL","24-May","Clear","09:58:00","10:12:00","DT","AW",NA,103.0048543,89.4437477729193,542556.97679721,4930017.90219996
"45","7B1-4",461,71.3,0.15,"51-100",NA,"LL","24-May","Clear","10:33:00","10:47:00","EH","AW",NA,94.64142856,321.434739151038,543088.655858963,4930045.43389334
"46","7B1-5",462,55.8,0.39,"21-50",NA,"LL","24-May","Clear","10:57:00","11:06:00","DT","AW",NA,97.9489663,220.030259271891,543221.524513458,4929702.81125668
"47","7B1-6",463,42.5,2.03,"21-50",NA,"LL","24-May","Clear","11:13:00","11:25:00","DT","AW",NA,100.895986,219.369317242366,542988.432044476,4929534.47220506
"48","7B1-6",464,94.7,1.77,"11-20",NA,"LL","24-May","Clear","11:13:00","11:25:00","DT","AW",NA,100.895986,219.369317242366,542947.912692218,4929501.56187701
"49","7B5-2",465,63,0.76,NA,NA,"LL","24-May","Clear","12:45:00","13:03:00","EH","AW",NA,97.25224933,175.872408297496,539513.218110203,4929379.29262823
"50","7B5-2",466,85.3,0.95,"21-50",NA,"LL","24-May","Clear","12:45:00","13:03:00","EH","AW",NA,97.25224933,175.872408297496,539490.852869143,4929379.19216783
"51","7B5-3",467,67.1,0.56,"21-50",NA,"LL","24-May","Clear","13:20:00","13:34:00","DT","AW",NA,101.2422837,273.964654722857,539136.198025775,4929289.09929651
"52","7B5-5",468,1.1,0,"21-50",NA,"LL","24-May","Clear","14:02:00","14:29:00","EH","AW",NA,101.5332458,27.5745639596955,539325.975050086,4928715.50919282
"53","7B5-5",470,35.2,0.34,"21-50",NA,"LL","24-May","Clear","14:02:00","14:29:00","EH","AW",NA,101.5332458,27.5745639596955,539356.044215868,4928731.59554944
"54","7B5-5",471,44.2,0.7,"11-20",NA,"LL","24-May","Clear","14:02:00","14:29:00","EH","AW",NA,101.5332458,27.5745639596955,539364.503317056,4928734.839807
"55","7B5-5",472,48.9,0.7,"11-20",NA,"LL","24-May","Clear","14:02:00","14:29:00","EH","AW",NA,101.5332458,27.5745639596955,539368.021376556,4928738.25642189
"56","7B5-5",473,83,0,"21-50",NA,"LL","24-May","Clear","14:02:00","14:29:00","EH","AW",NA,101.5332458,27.5745639596955,539398.571961008,4928753.42091297
"57","6C3-1",474,90.6,0.25,"21-50","rubus","grass","25-May","Clear","11:32:00","11:50:00","EH","AW",NA,101.0198,291.485443317063,521697.950966035,4877258.60416872
"58","6C3-4",476,31.15,0.33,"21-50",NA,"LL","25-May","Clear","13:04:00","13:20:00","DT","AW",NA,93.74433316,33.6900675259808,522274.101417733,4876893.00433451
"59","2B1-6",477,99.6,0.18,"11-20",NA,"LL","26-May","Overcast","10:07:00",NA,"DT","AW",NA,104.205806,232.525274941623,506422.545076776,4852188.84575401
"60","2B4-1",479,52.2,0.16,"21-50",NA,"LL","26-May","Overcast","11:22:00","11:41:00","EH","AW",NA,94.72592042,349.045937356602,504160.218504696,4850351.9237717
"61","2B4-1",480,60.7,0.28,"21-50",NA,"LL","26-May","Overcast","11:22:00","11:41:00","EH","AW",NA,94.72592042,349.045937356602,504168.540830797,4850350.19077191
"62","2B4-4",483,16,0.23,"11-20",NA,"LL","26-May","Overcast","12:33:00","13:11:00","DT","AW",NA,96.89685237,226.254451622682,504429.770533063,4849790.6003521
"63","2B4-4",484,70.3,0.74,"11-20",NA,"LL","26-May","Overcast","12:33:00","13:11:00","DT","AW",NA,96.89685237,226.254451622682,504391.855988783,4849751.72571471
"64","2B4-4",485,74.8,0,"21-50",NA,"LL","26-May","Overcast","12:33:00","13:11:00","DT","AW",NA,96.89685237,226.254451622682,504389.279021689,4849747.96315699
"65","2B4-4",486,88.45,0,"21-50",NA,"LL","26-May","Overcast","12:33:00","13:11:00","DT","AW",NA,96.89685237,226.254451622682,504379.840634605,4849738.10215556
"66","2B4-4",487,90.4,0.19,"11-20",NA,"LL","26-May","Overcast","12:33:00","13:11:00","DT","AW",NA,96.89685237,226.254451622682,504378.355034232,4849736.82481788
"67","2B4-4",488,92.4,0.3,"21-50",NA,"LL","26-May","Overcast","12:33:00","13:11:00","DT","AW",NA,96.89685237,226.254451622682,504376.892654428,4849735.45604277
"68","2B4-4",489,72.8,0.13,"21-50",NA,"LL","26-May","Overcast","12:33:00","13:11:00","DT","AW",NA,96.89685237,226.254451622682,504390.568021249,4849749.49788176
"69","2B4-4",490,93.65,0.06,"21-50",NA,"LL","26-May","Overcast","12:33:00","13:11:00","DT","AW",NA,96.89685237,226.254451622682,504376.201713511,4849734.387071
"70","2B4-4",491,98.6,0.3,"51-100",NA,"LL","26-May","Overcast","12:33:00","13:11:00","DT","AW",NA,96.89685237,226.254451622682,504372.605621466,4849730.97705311
"71","2B4-4",492,97.75,0.12,"51-100",NA,"dirt","26-May","Overcast","12:33:00","13:11:00","DT","AW",NA,96.89685237,226.254451622682,504373.496775285,4849731.30069623
"72","2B4-5",493,12.35,0.32,"21-50",NA,"LL","26-May","Overcast","13:27:00","13:52:00","EH","AW",0,98.79271228,111.370622269344,504035.201670356,4849604.38424054
"73","2B4-5",494,37.9,1.1,"11-20",NA,"LL","26-May","Overcast","13:27:00","13:52:00","EH","AW",0,98.79271228,111.370622269344,504027.213631746,4849628.69494063
"74","2B4-5",495,48.2,0.79,"21-50",NA,"LL","26-May","Overcast","13:27:00","13:52:00","EH","AW",0,98.79271228,111.370622269344,504023.171633194,4849638.17377747
"75","2B4-5",496,68.15,0.39,"51-100",NA,"LL","26-May","Overcast","13:27:00","13:52:00","EH","AW",0,98.79271228,111.370622269344,504014.80299971,4849656.32207969
"76","2B4-5",497,72.75,0.57,"21-50",NA,"LL","26-May","Overcast","13:27:00","13:52:00","EH","AW",0,98.79271228,111.370622269344,504012.959139006,4849660.54020459
"77","2B4-6",498,30.6,0.15,"11-20",NA,"LL","26-May","Overcast","14:00:00","14:05:00","EH","AW",0,101.5332458,117.574563959694,503886.968142858,4849882.19355595
"78","12B2-1",499,47.1,0.505,"21-50",NA,"LL","30-May","Clear","08:47:00","09:10:00","DT",NA,0,106.8924693,152.715792706377,584396.371669887,4943904.03967234
"79","12B2-4",501,65.9,0.32,"51-100",NA,"LL","30-May","Clear","10:49:00","11:23:00","AU",NA,1,97.02061637,271.181188913327,583714.038542155,4943644.10740686
"80","12B2-4",502,100,0.61,"21-50",NA,"LL","30-May","Clear","10:49:00","11:23:00","AU",NA,1,97.02061637,271.181188913327,583715.671287915,4943610.03382412
"81","12B3-1",503,68.35,0.74,"21-50",NA,"LL","30-May","Clear","13:52:00","14:08:00","AU",NA,0,98.23441352,284.74356283647,583192.110252163,4945821.08878042
"82","12B3-2",505,80.6,1.85,"21-50",NA,"LL","30-May","Clear","14:20:00","14:33:00","AU","DT",0,101.1928851,288.434948822923,583245.73289384,4945512.95110481
"83","12B3-5",506,83.7,0.71,"21-50",NA,"LL","30-May","Clear","15:34:00","15:48:00","AU",NA,0,99.12618221,59.0362434679265,582516.454474752,4945571.13744987
"84","7A2-3",507,100,0,"11-20","rubus","LL","31-May","Clear","08:40:00","08:49:00","AU","AW",0,102.1077862,284.172337700133,549211.483931083,4939901.04363291
"85","7A2-5",508,58.7,0.13,"11-20",NA,"LL","31-May","Clear","09:19:00","09:32:00","DT","AW",0,100.6479011,25.2920211570201,549535.128678695,4939414.96097755
"86","7A4-2",509,13.9,1.69,"11-20",NA,"LL","31-May","Clear","10:32:00","10:55:00","AU","AW",0,100.3045363,69.5776669752755,545438.266452467,4942654.61603423
"87","7A4-2",510,13.5,0.29,"21-50","ferns","LL","31-May","Clear","10:32:00","10:55:00","AU","AW",0,100.3045363,69.5776669752755,545439.438881994,4942653.75266351
"88","7A4-2",511,46.7,0,"21-50",NA,"LL","31-May","Clear","10:32:00","10:55:00","AU","AW",0,100.3045363,69.5776669752755,545451.295374671,4942684.76472054
"89","7A4-2",512,91.7,1.63,"21-50","ferns","LL","31-May","Clear","10:32:00","10:55:00","AU","AW",0,100.3045363,69.5776669752755,545465.470007769,4942727.5050607
"90","7A4-2",513,95.6,0.73,"21-50",NA,"LL","31-May","Clear","10:32:00","10:55:00","AU","AW",0,100.3045363,69.5776669752755,545467.674294915,4942730.84588667
"91","7A4-3",516,97.4,1.05,"21-50","ferns","LL","31-May","Clear","11:06:00","11:21:00","DT","AW",0,91.93475948,314.118596003418,545804.05080902,4942716.34554855
"92","7A4-5",517,97.85,0.31,"21-50",NA,"LL","31-May","Clear","11:48:00","11:58:00","AU","AW",0,98.65596789,190.512627169921,545988.735879306,4942235.45184719
"93","15A4-1",518,95.8,1.05,"21-50",NA,"LL","31-May","Clear","14:28:00","14:42:00","DT","AW",0,92.54188241,353.796552098303,598934.352501702,4929605.69178217
"94","15A4-2",519,80.35,0.19,"11-20",NA,"LL","31-May","Clear","14:52:00","15:14:00","DT","AW",0,90.27181177,4.44738485008676,599208.122796455,4929677.04119923
"95","15A4-2",520,82.6,0,"21-50","conifer regen","LL","31-May","Clear","14:52:00","15:14:00","DT","AW",0,90.27181177,4.44738485008676,599210.351288341,4929677.4051002
"96","15A4-2",521,90.15,0.545641791,NA,NA,NA,"31-May","Clear","14:52:00","15:14:00","DT","AW",0,90.27181177,4.44738485008676,599217.920866032,4929677.44655544
"97","15A4-2",522,97.7,0.66,"21-50",NA,"needles","31-May","Clear","14:52:00","15:14:00","DT","AW",0,90.27181177,4.44738485008676,599225.457000448,4929677.91799564
"98","15A4-2",523,98.35,0.53,"21-50",NA,"needles","31-May","Clear","14:52:00","15:14:00","DT","AW",0,90.27181177,4.44738485008676,599226.094962608,4929678.09800753
"99","15A4-4",525,74.7,0.47,"21-50",NA,"grass","31-May","Clear","15:45:00","15:55:00","AU","AW",0,96.00520819,270.596809451229,599491.24805729,4929197.30894797
"100","15A4-4",526,92.6,0.24,"21-50",NA,"grass","31-May","Clear","15:45:00","15:55:00","AU","AW",0,96.00520819,270.596809451229,599491.204517986,4929179.40752333
"101","15A4-4",527,92.95,0.27,"21-50",NA,"grass","31-May","Clear","15:45:00","15:55:00","AU","AW",0,96.00520819,270.596809451229,599490.698191288,4929179.0522301
"102","15A4-5",529,36.1,0.83,"21-50",NA,"LL","31-May","Clear","16:15:00","16:27:00","DT","AW",0,99.72462083,136.21887523513,599185.361944344,4928942.3785334
"103","15A2-2",530,80.4,0.73,"11-20",NA,"LL","1-Jun","Clear","08:05:00","08:18:00","AU","AW",0,103.2375901,86.1120904391674,601893.179822676,4928411.1654707
"104","12B1-2",533,20.6,0.62,"1-10",NA,"LL","1-Jun","Clear","11:07:00","11:15:00","DT","AW",0,104.0432602,1.65230467761658,585038.57355753,4945502.2137259
"105","12B1-5",535,59.6,0.52,"21-50",NA,"LL","1-Jun","Clear","11:58:00","12:04:00","DT","AW",0,97.59098319,135.830315486258,584874.887820345,4944836.1554415
"106","5B2-1",536,62,0.51,"21-50",NA,"LL","5-Jun",NA,"08:57:00","09:28:00","EH","AU",1,112.5788612,71.8869341924767,547879.760103942,4826344.76902579
"107","5B2-5",539,55,0.61,"21-50",NA,"LL","5-Jun",NA,"11:15:00","11:34:00","EH","AU",0,96.02551744,207.338910780087,548528.423339085,4826331.1992226
"108","1B2-6",545,49,0.98,"11-20",NA,"LL","6-Jun","Overcast","09:37:00","09:57:00","EH","AU",0,97.06183596,117.621074983076,513280.150835712,4803640.86997173
"109","1B2-6",546,53,0.8,"21-50",NA,"LL","6-Jun","Overcast","09:37:00","09:57:00","EH","AU",0,97.06183596,117.621074983076,513276.719208887,4803643.58885704
"110","1B4-1",548,7,0.08,"21-50",NA,"LL","6-Jun","Overcast","10:43:00","11:04:00","AU","EH",1,101.5332458,72.8142938557758,510736.144716229,4803144.66382715
"111","1B4-1",549,49,0.6,"21-50",NA,"LL","6-Jun","Overcast","10:43:00","11:04:00","AU","EH",1,101.5332458,72.8142938557758,510747.904805161,4803184.98953493
"112","1B4-4",550,6.5,0.65,"21-50",NA,NA,"6-Jun","Overcast","11:50:00","12:09:00","EH","AU",1,92.54188241,186.203447901687,510407.467822523,4803668.94380923
"113","1B4-4",551,74.5,0.72,"21-50",NA,NA,"6-Jun","Overcast","11:50:00","12:09:00","EH","AU",1,92.54188241,186.203447901687,510340.014040112,4803660.23380702
"114","1B4-6",552,95,0.3,"21-50",NA,"LL","6-Jun","Overcast","12:49:00","12:59:00","AU","EH",0,93.00537619,323.746162262555,510302.785883705,4803083.06237345
"115","1B1-2",553,47.25,0.64,"21-50",NA,"LL","6-Jun","Overcast","14:06:00","14:17:00","EH","AU",0,100.019998,101.534620653645,512034.178964031,4807369.42371618
"116","1B1-2",554,54,0.15,"21-50",NA,"LL","6-Jun","Overcast","14:06:00","14:17:00","EH","AU",0,100.019998,101.534620653645,512032.349129961,4807375.93941318
"117","1B1-6",556,79.1,0.43,"21-50",NA,"LL","6-Jun","Overcast","15:36:00","15:52:00","EH","AU",0,94.42986816,335.606260613837,511671.216239768,4806918.72292433
"118","1B1-6",557,97,0.021,"21-50",NA,"LL","6-Jun","Overcast","15:36:00","15:52:00","EH","AU",0,94.42986816,335.606260613837,511687.332019973,4806910.9193976
"119","4B3-1",558,28.65,0.64,"11-20",NA,"LL","7-Jun","Rain","07:07:00","07:19:00","EH","AU",0,97.98469268,75.8219355852931,535242.396917547,4802236.9340571
"120","4B3-5",561,29.7,0.34,"21-50",NA,"LL","7-Jun","Rain","08:25:00","08:36:00","EH","AU",0,101.2126474,322.224315694044,534589.267052683,4802335.53788042
"121","4B3-6",562,61,0.62,"11-20",NA,"LL","7-Jun","Rain","08:46:00","09:00:00","EH","AU",0,99.02019996,321.972769286026,534846.432744046,4802139.91019407
"122","4B4-1",564,1,0.1,"21-50",NA,"LL","7-Jun","Rain","09:40:00","09:59:00","AU","EH",1,93.92017888,18.6278631764533,536974.915671169,4801970.41418149
"123","4B4-1",565,79.2,0.85,"21-50",NA,"LL","7-Jun","Rain","09:40:00","09:59:00","AU","EH",1,93.92017888,18.6278631764533,537049.322471536,4801994.49260667
"124","4B4-1",566,97.6,0.05,"11-20",NA,"LL","7-Jun","Rain","09:40:00","09:59:00","AU","EH",1,93.92017888,18.6278631764533,537066.471076014,4802001.22278977
"125","4B4-3",569,8.1,0.257,"21-50",NA,"LL","7-Jun","Rain","10:39:00","10:57:00","EH","AU",0,91.24143795,242.592424562182,537806.043278053,4801784.92748981
"126","4B4-3",570,9.6,0.4,"21-50",NA,"LL","7-Jun","Rain","10:39:00","10:57:00","EH","AU",0,91.24143795,242.592424562182,537805.936057034,4801783.29342963
"127","4B4-3",571,90.6,0.36,"21-50",NA,"LL","7-Jun","Rain","10:39:00","10:57:00","EH","AU",0,91.24143795,242.592424562182,537768.614856532,4801711.40372527
"128","4B4-4",572,30.85,0.251,"21-50",NA,"LL","7-Jun","Rain","11:04:00","11:22:00","EH","AU",0,113.2166066,250.924901507554,537659.155216325,4801507.76191293
"129","4B4-4",573,87.8,0.012,"21-50",NA,"LL","7-Jun","Rain","11:04:00","11:22:00","EH","AU",0,113.2166066,250.924901507554,537640.317670625,4801454.01708534
"130","4B4-4",574,97.2,0.63,"21-50",NA,"LL","7-Jun","Rain","11:04:00","11:22:00","EH","AU",0,113.2166066,250.924901507554,537636.63893468,4801445.34303981
"131","4B1-2",578,38.6,0.67,"11-20",NA,NA,"7-Jun","Rain","13:05:00","13:17:00","EH","AU",1,93.26306879,175.695531039492,536566.458591845,4800579.22907098
"132","4B1-4",580,12.2,0.55,"11-20",NA,NA,"7-Jun","Rain","13:56:00","14:23:00","AU","EH",1,85.84287973,278.035710710535,536251.160841765,4800180.84290551
"133","4B1-4",581,99.6,1.65,"21-50",NA,NA,"7-Jun","Rain","13:56:00","14:23:00","AU","EH",1,85.84287973,278.035710710535,536265.556910535,4800094.60861301
"134","4B1-5",582,62.4,0.53,"21-50",NA,NA,"7-Jun","Rain","14:45:00","15:06:00","EH","AU",1,90.37698822,24.8636965717526,536600.839026185,4799863.75589258
"135","4B1-5",583,72.8,0.74,"51-100",NA,NA,"7-Jun","Rain","14:45:00","15:06:00","EH","AU",1,90.37698822,24.8636965717526,536610.363353305,4799867.93815188
