Animal ID,Specimen,Family,Genus,Species,Date Collected,Positive,Bad Result,Plate Number,Plot ID,Easting,Northing,Sample Run,Collected By
1,Slug,Philomycidae,Philomycus,togatus,6/20/2017,FALSE,,4,2017-S1,562688,4867813,01:10,Sam Peterson & Rene Tam
2,Slug,Arionidae,Arion,subfuscus,6/20/2017,FALSE,,4,2017-S2,562303,4868603,01:10,Sam Peterson & Rene Tam
3,Slug,Arionidae,Arion,subfuscus,6/20/2017,FALSE,,4,2017-S3,562500,4867884,01:10,Sam Peterson & Rene Tam
4,Slug,Philomycidae,unknown,unknown,6/21/2017,FALSE,,4,2017-S4,556789,4871807,01:10,Sam Peterson & Rene Tam
5,Slug,Philomycidae,Philomycus,carolinianus,6/21/2017,FALSE,,4,2017-S5,557558,4874191,01:10,Sam Peterson & Rene Tam
6,Slug,Arionidae,Arion,subfuscus,6/21/2017,FALSE,,4,2017-S6,556789,4871807,01:10,Sam Peterson & Rene Tam
7,Snail,Oxychilidae,Oxychilus,draparnaudi,6/21/2017,TRUE,,4,2017-S7,557584,4874211,01:10,Sam Peterson & Rene Tam
8,Slug,Arionidae,Arion,subfuscus,6/26/2017,FALSE,,4,2017-S8,572246,4939704,01:10,Sam Peterson & Rene Tam
9,Slug,Arionidae,Arion,intermedius,7/8/2017,FALSE,,4,2017-S9,503288,4889534,01:10,Sam Peterson & Rene Tam
10,Slug,Philomycidae,Philomycus,flexuolaris,7/8/2017,FALSE,,4,2017-S10,501595,4889534,01:10,Sam Peterson & Rene Tam
11,Slug,Arionidae,Arion,subfuscus,7/8/2017,FALSE,,4,2017-S11,503288,4889534,01:10,Sam Peterson & Rene Tam
12,Slug,Arionidae,Arion,subfuscus,7/8/2017,FALSE,,4,2017-S12,503288,4889534,01:10,Sam Peterson & Rene Tam
13,Snail,Zonitidae,Mesomphix,inornatus,7/8/2017,FALSE,,4,2017-S13,503336,4889170,01:10,Sam Peterson & Rene Tam
14,Slug,Arionidae,Arion,subfuscus,7/9/2017,FALSE,,4,2017-S14,482680,4886945,01:10,Sam Peterson & Rene Tam
15,Slug,Arionidae,Arion,subfuscus,7/9/2017,FALSE,,4,2017-S15,504472,4888326,01:10,Sam Peterson & Rene Tam
16,Slug,Arionidae,Arion,subfuscus,7/11/2017,TRUE,,4,2017-S16,543039,4871641,01:10,Sam Peterson & Rene Tam
17,Slug,Arionidae,Arion,subfuscus,7/13/2017,FALSE,,4,2017-S17,555615,4857195,01:10,Sam Peterson & Rene Tam
18,Slug,Arionidae,Arion,subfuscus,7/26/2017,FALSE,,5,2017-12B3-t1-1,582601.13,4945652,01:10,Alec Wong
19,Slug,Arionidae,Arion,subfuscus,7/26/2017,FALSE,,5,2017-12B3-t1-1,582601.13,4945652,01:10,Alec Wong
20,Slug,Arionidae,Arion,subfuscus,7/26/2017,FALSE,,5,2017-12B3-t1-1,582601.13,4945652,01:10,Alec Wong
21,Snail,Oxychilidae,Oxychilus,unknown,7/26/2017,FALSE,,10,2017-12B3-t1-1,582601.13,4945652,01:10,Alec Wong
22,Snail,Oxychilidae,Oxychilus,unknown,7/30/2017,FALSE,,10,2017-12B3-t3,583243.06,4945489,01:10,Alec Wong
23,Slug,Philomycidae,Philomycus,togatus,7/29/2017,FALSE,,4,2017-10B4-t3,578916.44,4863474.5,01:10,Alec Wong
24,Snail,Oxychilidae,Oxychilus,unknown,7/29/2017,FALSE,,10,2017-10B4-T1-1,579239.5,4863163.5,01:10,Alec Wong
25,Snail,Oxychilidae,Oxychilus,unknown,7/26/2017,FALSE,,10,2017-12B2-t2-1,583709,4943816,01:10,Alec Wong
26,Snail,Gastrodontidae,Zonitoides,unknown,7/29/2017,FALSE,,10,2017-10B4-T1-1,579239.5,4863163.5,01:10,Alec Wong
27,Snail,Gastrodontidae,Zonitoides,unknown,7/29/2017,FALSE,,10,2017-10B4-T1-1,579239.5,4863163.5,01:10,Alec Wong
28,Snail,Gastrodontidae,Zonitoides,unknown,7/29/2017,FALSE,,10,2017-10B4-T1-1,579239.5,4863163.5,01:10,Alec Wong
29,Snail,Gastrodontidae,Zonitoides,unknown,7/29/2017,FALSE,,10,2017-10B4-T1-1,579239.5,4863163.5,01:10,Alec Wong
31,Snail,Unknown,Unknown,unknown,7/30/2017,FALSE,,4,2017-12B2-t1,584252.75,4943971,01:10,Alec Wong
32,Snail,Unknown,Unknown,unknown,7/29/2017,FALSE,,4,2017-10B4-T1-1,579239.5,4863163.5,01:10,Alec Wong
33,Snail,Oxychilidae,Oxychilus,unknown,7/29/2017,FALSE,,10,2017-10B4-t3,578916.44,4863474.5,01:10,Alec Wong
34,Snail,Gastrodontidae,Zonitoides,unknown,7/29/2017,FALSE,,10,2017-10B4-T1-1,579239.5,4863163.5,01:10,Alec Wong
35,Snail,Oxychilidae,Oxychilus,unknown,7/29/2017,FALSE,,10,2017-10B3-t1,578995.88,4865573.5,01:10,Alec Wong
36,Snail,Oxychilidae,Oxychilus,unknown,7/29/2017,FALSE,,10,2017-10B3-t1,578995.88,4865573.5,01:10,Alec Wong
37,Snail,Zonitidae,Mesomphix,inornatus,7/25/2017,FALSE,,5,2017-9A1-2-2,569930,4848086,01:10,Alec Wong
38,Snail,Zonitidae,Mesomphix,inornatus,7/25/2017,FALSE,,5,2017-10B4-2-1,579446,4863662,01:10,Alec Wong
39,Snail,Succineidae,Novisuccinea,ovalis,7/30/2017,FALSE,,11,2017-12B3-t2,582736.13,4945244,01:10,Alec Wong
40,Snail,Gastrodontidae,Zonitoides,unknown,7/26/2017,FALSE,,10,2017-12B3-t1-1,582601.13,4945652,01:10,Alec Wong
42,Snail,Gastrodontidae,Zonitoides,unknown,7/26/2017,FALSE,,10,2017-12B3-t1-1,582601.13,4945652,01:10,Alec Wong
43,Snail,Gastrodontidae,Zonitoides,unknown,7/26/2017,FALSE,,10,2017-12B2-t2-1,583709,4943816,01:10,Alec Wong
44,Slug,Philomycidae,Philomycus,togatus,7/26/2017,FALSE,,6,2017-12B2-t2-1,583709,4943816,01:10,Alec Wong
45,Snail,Oxychilidae,Oxychilus,unknown,7/29/2017,FALSE,,10,2017-10B4-T1-1,579239.5,4863163.5,01:10,Alec Wong
46,Snail,Oxychilidae,Oxychilus,unknown,7/30/2017,FALSE,,10,2017-12B3-t3,583243.06,4945489,01:10,Alec Wong
47,Snail,Oxychilidae,Oxychilus,unknown,7/30/2017,FALSE,,10,2017-12B3-t1-1,582601.13,4945652,01:10,Alec Wong
48,Snail,Oxychilidae,Oxychilus,unknown,7/30/2017,FALSE,,10,2017-12B3-t1-1,582601.13,4945652,01:10,Alec Wong
49,Slug,Arionidae,Arion,subfuscus,7/30/2017,FALSE,,5,2017-12B3-t3,583243.06,4945489,01:10,Alec Wong
50,Slug,Arionidae,Arion,subfuscus,7/30/2017,FALSE,,5,2017-12B3-t3,583243.06,4945489,01:10,Alec Wong
51,Slug,Arionidae,Arion,subfuscus,7/30/2017,FALSE,,5,2017-12B3-t3,583243.06,4945489,01:10,Alec Wong
52,Slug,Arionidae,Arion,unknown,7/29/2017,FALSE,,5,2017-10B4-t2,579496.56,4863605,01:10,Alec Wong
53,Slug,Arionidae,Arion,subfuscus,7/30/2017,FALSE,,5,2017-12B3-t1-1,582601.13,4945652,01:10,Alec Wong
54,Slug,Arionidae,Arion,unknown,7/30/2017,FALSE,,5,2017-12B3-t1-1,582601.13,4945652,01:10,Alec Wong
55,Slug,Philomycidae,Philomycus,flexuolaris,7/29/2017,FALSE,,4,2017-10B4-T1-1,579239.5,4863163.5,01:10,Alec Wong
56,Slug,Unknown,Unknown,unknown,7/29/2017,FALSE,,5,2017-10B4-t3,578916.44,4863474.5,01:10,Alec Wong
57,Slug,Unknown,Unknown,unknown,7/26/2017,FALSE,,5,2017-12B3-t3,583243.06,4945489,01:10,Alec Wong
58,Slug,Philomycidae,Philomycus,togatus,7/29/2017,FALSE,,5,2017-10B4-T1-1,579239.5,4863163.5,01:10,Alec Wong
59,Slug,Philomycidae,Philomycus,togatus,7/29/2017,FALSE,,5,2017-10B4-T1-1,579239.5,4863163.5,01:10,Alec Wong
60,Slug,Unknown,Unknown,unknown,7/29/2017,FALSE,,5,2017-10B4-T1-1,579239.5,4863163.5,01:10,Alec Wong
61,Slug,Unknown,Unknown,unknown,7/29/2017,FALSE,,5,2017-10B4-T1-1,579239.5,4863163.5,01:10,Alec Wong
62,Slug,Unknown,Unknown,unknown,7/29/2017,FALSE,,5,2017-10B4-T1-1,579239.5,4863163.5,01:10,Alec Wong
63,Slug,Arionidae,Arion,,7/29/2017,FALSE,,5,2017-10B4-T1-1,579239.5,4863163.5,01:10,Alec Wong
66,Slug,Arionidae,Arion,subfuscus,7/29/2017,FALSE,,4,2017-10B4-T1-1,579239.5,4863163.5,01:10,Alec Wong
67,Slug,Arionidae,Arion,subfuscus,7/26/2017,FALSE,,4,2017-12B2-t2-1,583709,4943816,01:10,Alec Wong
68,Slug,Arionidae,Arion,subfuscus,7/29/2017,FALSE,,4,2017-10B4-T1-1,579239.5,4863163.5,01:10,Alec Wong
70,Snail,Succineidae,Novisuccinea,ovalis,7/30/2017,FALSE,,11,2017-12B3-t2,582736.13,4945244,01:10,Alec Wong
71,Slug,Arionidae,Arion,subfuscus,7/30/2017,TRUE,,5,2017-12B3-t1-1,582601.13,4945652,01:10,Alec Wong
72,Slug,Arionidae,Arion,subfuscus,7/30/2017,FALSE,,5,2017-12B3-t3,583243.06,4945489,01:10,Alec Wong
73,Snail,Succineidae,Novisuccinea,ovalis,7/30/2017,FALSE,,11,2017-12B3-t1-1,582601.13,4945652,01:10,Alec Wong
74,Slug,Arionidae,Arion,subfuscus,7/26/2017,FALSE,,5,2017-12B3-t2,582736.13,4945244,01:10,Alec Wong
76,Snail,Polygyridae,Neohelix,dentifera,7/30/2017,FALSE,,11,2017-12B3-t2,582736.13,4945244,01:10,Alec Wong
77,Slug,Arionidae,Arion,subfuscus,7/26/2017,FALSE,,5,2017-12B3-t3,583243.06,4945489,01:10,Alec Wong
79,Slug,Arionidae,Arion,subfuscus,7/29/2017,FALSE,,6,2017-10B4-t2,579496.56,4863605,01:10,Alec Wong
80,Slug,Arionidae,Arion,unknown,7/29/2017,FALSE,,6,2017-10B4-t2,579496.56,4863605,01:10,Alec Wong
81,Slug,Arionidae,Arion,subfuscus,7/30/2017,FALSE,,6,2017-12B3-t3,583243.06,4945489,01:10,Alec Wong
82,Snail,Succineidae,Novisuccinea,ovalis,7/30/2017,FALSE,,11,2017-12B3-t1-1,582601.13,4945652,01:10,Alec Wong
83,Snail,Succineidae,Novisuccinea,ovalis,7/30/2017,FALSE,,10,2017-12B3-t2,582736.13,4945244,01:10,Alec Wong
84,Slug,Arionidae,Arion,unknown,7/26/2017,FALSE,,6,2017-12B2-t3,584173,4943437,01:10,Alec Wong
85,Slug,Arionidae,Arion,subfuscus,7/29/2017,FALSE,,6,2017-10B4-T1-1,579239.5,4863163.5,01:10,Alec Wong
86,Slug,Arionidae,Arion,subfuscus,7/29/2017,FALSE,,6,2017-10B4-t2,579496.56,4863605,01:10,Alec Wong
87,Slug,Arionidae,Arion,subfuscus,7/26/2017,FALSE,,6,2017-12B3-t3,583243.06,4945489,01:10,Alec Wong
88,Slug,Arionidae,Arion,subfuscus,7/26/2017,FALSE,,6,2017-12B3-t3,583243.06,4945489,01:10,Alec Wong
89,Slug,Arionidae,Arion,subfuscus,7/26/2017,TRUE,,6,2017-12B3-t3,583243.06,4945489,01:10,Alec Wong
90,Slug,Arionidae,Arion,subfuscus,7/26/2017,FALSE,,6,2017-12B3-t3,583243.06,4945489,01:10,Alec Wong
91,Slug,Arionidae,Arion,subfuscus,7/26/2017,FALSE,,6,2017-12B3-t3,583243.06,4945489,01:10,Alec Wong
92,Slug,Arionidae,Arion,subfuscus,8/4/2017,FALSE,,6,2017-4B3,,,01:10,Alec Wong
93,Slug,Agriolimacidae,Deroceras,laeve,7/25/2017,FALSE,,11,2017-10B4-3,578949.69,4863570,01:10,Alec Wong
94,Slug,Agriolimacidae,Deroceras,laeve,7/25/2017,FALSE,,10,2017-10B4-3,578949.69,4863570,01:10,Alec Wong
95,Slug,Arionidae,Arion,subfuscus,7/26/2017,FALSE,,6,2017-12B3-1-1,583261,4945511,01:10,Alec Wong
96,Slug,Arionidae,Arion,subfuscus,7/26/2017,FALSE,,6,2017-12B3-1-1,583261,4945511,01:10,Alec Wong
97,Slug,Arionidae,Arion,subfuscus,7/26/2017,FALSE,,6,2017-12B3-1-1,583261,4945511,01:10,Alec Wong
98,Slug,Arionidae,Arion,subfuscus,7/26/2017,FALSE,,6,2017-12B3-1-1,583261,4945511,01:10,Alec Wong
99,Slug,Arionidae,Arion,subfuscus,7/26/2017,FALSE,,6,2017-12B3-1-1,583261,4945511,01:10,Alec Wong
100,Slug,Arionidae,Arion,subfuscus,7/26/2017,FALSE,,6,2017-12B3-1-1,583261,4945511,01:10,Alec Wong
101,Slug,Arionidae,Arion,subfuscus,7/26/2017,FALSE,,6,2017-12B3-1-1,583261,4945511,01:10,Alec Wong
102,Slug,Agriolimacidae,Deroceras,laeve,7/25/2017,FALSE,,10,2017-10B4-2-1,579446,4863662,01:10,Alec Wong
103,Slug,Agriolimacidae,Deroceras,laeve,7/25/2017,FALSE,,10,2017-10B4-2-1,579446,4863662,01:10,Alec Wong
104,Slug,Arionidae,Arion,subfuscus,7/26/2017,FALSE,,6,2017-12B2-3-2,584084,4943370,01:10,Alec Wong
105,Slug,Arionidae,Arion,subfuscus,7/25/2017,FALSE,,6,2017-10B4-1-1,579317,4863173,01:10,Alec Wong
106,Slug,Arionidae,Arion,subfuscus,7/25/2017,FALSE,,6,2017-10B4-1-1,579317,4863173,01:10,Alec Wong
107,Slug,Arionidae,Arion,subfuscus,7/25/2017,FALSE,,7,2017-10B4-1-1,579317,4863173,01:10,Alec Wong
108,Slug,Arionidae,Arion,subfuscus,7/25/2017,FALSE,,7,2017-10B4-1-1,579317,4863173,01:10,Alec Wong
109,Slug,Arionidae,Arion,subfuscus,7/25/2017,FALSE,,6,2017-10B4-1-1,579317,4863173,01:10,Alec Wong
110,Slug,Arionidae,Arion,subfuscus,7/25/2017,FALSE,,6,2017-10B4-3-1,578954,4863549,01:10,Alec Wong
111,Slug,Arionidae,Arion,fasciatus,7/25/2017,FALSE,,10,2017-10B4-3-1,578954,4863549,01:10,Alec Wong
112,Slug,Arionidae,Arion,subfuscus,7/25/2017,FALSE,,6,2017-10B4-3-1,578954,4863549,01:10,Alec Wong
113,Slug,Arionidae,Arion,subfuscus,7/25/2017,FALSE,,6,2017-10B4-3-1,578954,4863549,01:10,Alec Wong
114,Slug,Arionidae,Arion,subfuscus,7/25/2017,FALSE,,6,2017-10B4-3-1,578954,4863549,01:10,Alec Wong
115,Slug,Arionidae,Arion,subfuscus,7/25/2017,FALSE,,6,2017-10B4-3-1,578954,4863549,01:10,Alec Wong
116,Slug,Arionidae,Arion,circumscriptus,7/25/2017,TRUE,,10,2017-10B4-3-1,578954,4863549,01:10,Alec Wong
117,Slug,Arionidae,Arion,subfuscus,7/25/2017,FALSE,,6,2017-10B4-3-1,578954,4863549,01:10,Alec Wong
118,Slug,Arionidae,Arion,subfuscus,7/25/2017,FALSE,,6,2017-10B4-3-1,578954,4863549,01:10,Alec Wong
119,Slug,Arionidae,Arion,subfuscus,7/25/2017,FALSE,,6,2017-10B4-3-1,578954,4863549,01:10,Alec Wong
120,Slug,Arionidae,Arion,fasciatus,7/25/2017,FALSE,,10,2017-10B4-3-1,578954,4863549,01:10,Alec Wong
121,Slug,Arionidae,Arion,subfuscus,7/23/2017,FALSE,,6,2017-12B3-3-1,582680,4945751,01:10,Alec Wong
122,Slug,Arionidae,Arion,subfuscus,7/23/2017,FALSE,,6,2017-12B3-3-1,582680,4945751,01:10,Alec Wong
123,Slug,Arionidae,Arion,subfuscus,7/23/2017,FALSE,,7,2017-12B3-3-1,582680,4945751,01:10,Alec Wong
124,Slug,Arionidae,Arion,subfuscus,7/25/2017,FALSE,,7,2017-10B4-2,579424.88,4863675,01:10,Alec Wong
125,Slug,Arionidae,Arion,circumscriptus,7/25/2017,TRUE,,10,2017-10B4-2,579424.88,4863675,01:10,Alec Wong
126,Slug,Arionidae,Arion,subfuscus,7/25/2017,FALSE,,7,2017-10B4-2,579424.88,4863675,01:10,Alec Wong
127,Slug,Arionidae,Arion,subfuscus,7/25/2017,TRUE,,7,2017-10B4-2,579424.88,4863675,01:10,Alec Wong
128,Slug,Arionidae,Arion,subfuscus,7/25/2017,FALSE,,7,2017-10B4-2,579424.88,4863675,01:10,Alec Wong
129,Slug,Arionidae,Arion,subfuscus,7/25/2017,FALSE,,7,2017-10B4-2,579424.88,4863675,01:10,Alec Wong
130,Slug,Arionidae,Arion,subfuscus,7/25/2017,FALSE,,7,2017-10B4-2,579424.88,4863675,01:10,Alec Wong
131,Slug,Arionidae,Arion,subfuscus,7/25/2017,FALSE,,7,2017-10B4-2,579424.88,4863675,01:10,Alec Wong
132,Slug,Arionidae,Arion,subfuscus,7/25/2017,TRUE,,7,2017-10B4-2,579424.88,4863675,01:10,Alec Wong
133,Slug,Arionidae,Arion,subfuscus,7/25/2017,FALSE,,7,2017-10B4-2,579424.88,4863675,01:10,Alec Wong
134,Slug,Arionidae,Arion,subfuscus,7/25/2017,TRUE,,7,2017-10B4-2,579424.88,4863675,01:10,Alec Wong
135,Slug,Arionidae,Arion,subfuscus,7/25/2017,TRUE,,7,2017-10B4-2,579424.88,4863675,01:10,Alec Wong
136,Slug,Arionidae,Arion,subfuscus,7/25/2017,TRUE,,7,2017-10B4-2,579424.88,4863675,01:10,Alec Wong
137,Slug,Arionidae,Arion,subfuscus,7/25/2017,FALSE,,7,2017-10B4-2,579424.88,4863675,01:10,Alec Wong
138,Slug,Arionidae,Arion,subfuscus,7/25/2017,FALSE,,7,2017-9A1-3,570284,4847683,01:10,Alec Wong
139,Slug,Arionidae,Arion,subfuscus,7/25/2017,FALSE,,7,2017-9A1-3,570284,4847683,01:10,Alec Wong
140,Slug,Agriolimacidae,Deroceras,laeve,7/25/2017,FALSE,,7,2017-10B4-1-1,579317,4863173,01:10,Alec Wong
141,Slug,Arionidae,Arion,subfuscus,7/26/2017,FALSE,,6,2017-12B3-2-2,582832,4945198,01:10,Alec Wong
142,Slug,Arionidae,Arion,subfuscus,7/25/2017,FALSE,,6,2017-10B4-2-1,579446,4863662,01:10,Alec Wong
143,Slug,Arionidae,Arion,subfuscus,7/25/2017,FALSE,,5,2017-10B4-2-1,579446,4863662,01:10,Alec Wong
144,Slug,Arionidae,Arion,subfuscus,7/25/2017,FALSE,,5,2017-10B4-2-1,579446,4863662,01:10,Alec Wong
145,Slug,Arionidae,Arion,subfuscus,7/25/2017,FALSE,,5,2017-10B4-2-1,579446,4863662,01:10,Alec Wong
146,Slug,Arionidae,Arion,subfuscus,7/25/2017,FALSE,,5,2017-10B4-2-1,579446,4863662,01:10,Alec Wong
147,Slug,Arionidae,Arion,subfuscus,7/25/2017,FALSE,,5,2017-10B4-2-1,579446,4863662,01:10,Alec Wong
148,Slug,Arionidae,Arion,subfuscus,7/26/2017,FALSE,,5,2017-12B3-3,582664.25,4945734,01:10,Alec Wong
149,Slug,Arionidae,Arion,subfuscus,7/26/2017,FALSE,,5,2017-12B3-3,582664.25,4945734,01:10,Alec Wong
150,Slug,Arionidae,Arion,subfuscus,7/26/2017,FALSE,,5,2017-12B3-3,582664.25,4945734,01:10,Alec Wong
151,Slug,Arionidae,Arion,subfuscus,7/26/2017,FALSE,,5,2017-12B3-3,582664.25,4945734,01:10,Alec Wong
152,Slug,Arionidae,Arion,subfuscus,7/26/2017,FALSE,,5,2017-12B3-3,582664.25,4945734,01:10,Alec Wong
153,Slug,Arionidae,Arion,subfuscus,7/26/2017,FALSE,,5,2017-12B3-3,582664.25,4945734,01:10,Alec Wong
154,Slug,Arionidae,Arion,subfuscus,7/26/2017,FALSE,,5,2017-12B3-3,582664.25,4945734,01:10,Alec Wong
155,Slug,Arionidae,Arion,subfuscus,7/26/2017,FALSE,,5,2017-12B3-3,582664.25,4945734,01:10,Alec Wong
156,Slug,Arionidae,Arion,subfuscus,7/26/2017,FALSE,,5,2017-12B3-3,582664.25,4945734,01:10,Alec Wong
157,Slug,Arionidae,Arion,subfuscus,7/26/2017,FALSE,,4,2017-12B3-3,582664.25,4945734,01:10,Alec Wong
158,Slug,Arionidae,Arion,subfuscus,7/26/2017,FALSE,,6,2017-12B2-2,583709,4943716,01:10,Alec Wong
159,Slug,Arionidae,Arion,subfuscus,7/26/2017,FALSE,,4,2017-12B2-2,583709,4943716,01:10,Alec Wong
160,Slug,Arionidae,Arion,subfuscus,7/26/2017,FALSE,,4,2017-12B2-2,583709,4943716,01:10,Alec Wong
161,Slug,Arionidae,Arion,subfuscus,7/26/2017,FALSE,,4,2017-12B2-2,583709,4943716,01:10,Alec Wong
162,Slug,Arionidae,Arion,subfuscus,7/26/2017,FALSE,,4,2017-12B3-2,582820,4945219,01:10,Alec Wong
163,Slug,Arionidae,Arion,subfuscus,7/26/2017,FALSE,,4,2017-12B3-2,582820,4945219,01:10,Alec Wong
164,Slug,Arionidae,Arion,subfuscus,7/26/2017,FALSE,,4,2017-12B3-2,582820,4945219,01:10,Alec Wong
165,Slug,Arionidae,Arion,subfuscus,7/26/2017,FALSE,,5,2017-12B3-2,582820,4945219,01:10,Alec Wong
166,Slug,Arionidae,Arion,subfuscus,7/26/2017,FALSE,,5,2017-12B3-2,582820,4945219,01:10,Alec Wong
167,Slug,Arionidae,Arion,subfuscus,7/26/2017,FALSE,,6,2017-12B3-2,582820,4945219,01:10,Alec Wong
168,Slug,Agriolimacidae,Deroceras,unknown,7/25/2017,FALSE,,4,2017-10B4-2,579424.88,4863675,01:10,Alec Wong
169,Slug,Arionidae,Arion,subfuscus,7/25/2017,FALSE,,4,2017-10B4-2-1,579446,4863662,01:10,Alec Wong
170,Slug,Arionidae,Arion,subfuscus,7/25/2017,FALSE,,4,2017-10B4-2-1,579446,4863662,01:10,Alec Wong
171,Slug,Arionidae,Arion,subfuscus,7/25/2017,FALSE,,4,2017-10B4-2-1,579446,4863662,01:10,Alec Wong
172,Slug,Arionidae,Arion,subfuscus,7/25/2017,FALSE,,4,2017-10B4-2-1,579446,4863662,01:10,Alec Wong
173,Slug,Arionidae,Arion,subfuscus,7/25/2017,FALSE,,5,2017-10B4-2-1,579446,4863662,01:10,Alec Wong
174,Slug,Arionidae,Arion,subfuscus,7/25/2017,FALSE,,5,2017-10B4-2-1,579446,4863662,01:10,Alec Wong
175,Slug,Arionidae,Arion,subfuscus,7/25/2017,FALSE,,6,2017-10B4-2-1,579446,4863662,01:10,Alec Wong
176,Slug,Agriolimacidae,Deroceras,unknown,7/26/2017,FALSE,,6,2017-12B3-3,582664.25,4945734,01:10,Alec Wong
177,Slug,Arionidae,Arion,subfuscus,7/26/2017,TRUE,,6,2017-12B2-3-1,584097,4943412,01:10,Alec Wong
178,Slug,Arionidae,Arion,subfuscus,7/26/2017,FALSE,,6,2017-12B2-3,584085,4943392,01:10,Alec Wong
179,Slug,Arionidae,Arion,subfuscus,7/26/2017,FALSE,,6,2017-12B2-3,584085,4943392,01:10,Alec Wong
180,Slug,Arionidae,Arion,subfuscus,7/26/2017,FALSE,,6,2017-12B2-3,584085,4943392,01:10,Alec Wong
181,Slug,Arionidae,Arion,subfuscus,7/26/2017,FALSE,,4,2017-12B3-3-1,582680,4945751,01:10,Alec Wong
